PoleSlot,Magnet,SlotType,MagThk,Embrace,AirgapFlux,Cogging,Efficiency,Torque,Skor
5,3,1,5.00561631315473,0.555128914109817,0.754608628315309,7.68510787929982,85.6022585277814,4.68217894130541,0.528925079592411
5,3,1,4.40923252321117,0.572467728126469,0.835041959004548,8.24799612524933,84.5690637328634,5.08081378745447,0.527986194201494
5,3,2,3.4715827975819,0.83637031732251,0.68347931121395,8.59710693770778,85.1267275181463,5.77409361735705,0.526420876311784
5,3,3,4.59948827657914,0.599354428511036,0.775607980700204,8.04764769656806,84.9147467996607,4.95362705923401,0.525958559131343
5,3,1,4.12452075585117,0.580768664765031,0.85725023067185,8.60676430937979,84.114596438095,5.23765124471183,0.520985256132157
5,1,2,3.94660276056657,0.815338780821214,0.745679641223945,8.86271508758505,85.017455531598,5.75833642154927,0.520980055190801
5,3,1,5.06912550936844,0.533360061370245,0.744805108072992,7.80023110879548,85.7979636468431,4.59082395274586,0.518631738076036
5,3,3,4.96643780078958,0.582983374634026,0.735478729271803,7.90884808313988,85.5350075080521,4.70882915948818,0.517839421910256
5,3,1,3.28980448915667,0.751885360438889,0.779862216229505,9.07887395752206,84.4618896741518,5.82081459054186,0.517649916189799
5,3,1,4.38657086806599,0.561908181872627,0.843332298342651,8.50495423964079,84.5363826338758,5.0718066116645,0.517582451751676
5,3,3,3.20079886621114,0.879948644314999,0.712566739374465,9.20804476384545,85.6731360816397,5.93406362438936,0.511876049284017
5,1,3,3.94660276052277,0.815338780825008,0.739429429237513,9.12182618541618,85.3326869111477,5.69275299051905,0.508383046554784
5,3,1,3.31498754615431,0.786022499611458,0.754104542260646,9.47751560763518,84.9163883029381,5.86494318454716,0.502857476777379
5,3,1,4.15748113508319,0.539912928123294,0.875121830068218,9.2561691241399,84.0950104650704,5.14003790454361,0.493419600601441
5,3,2,3.80772193694812,0.525056567385127,0.892699162319046,9.91735051064279,83.1366364737156,5.29647890426541,0.477279843829203
5,3,3,3.74331679598507,0.527578035949641,0.880132188545766,9.77463547142193,84.039220606166,5.09713720294874,0.473352682625718
5,3,1,3.77989857768004,0.54798973408582,0.90210981657092,10.1325022519696,83.2851195165504,5.30523685900053,0.471462185364963
5,3,1,3.75056829669517,0.540875967403981,0.906876922969901,10.3111910262877,83.1711862456907,5.29882217625024,0.465866495089326
5,3,1,3.70489009651712,0.527042070722455,0.914154206140402,10.6019120910854,82.9728298591182,5.27970745617525,0.456735876246178
5,3,1,3.6948925082354,0.524128566350181,0.915525237036549,10.6616961549037,82.9293090379579,5.27522006639737,0.454879697558942
5,3,1,3.44934021815875,0.570156586585427,0.906981484103733,10.9257584354276,82.6127874182711,5.42003901698502,0.452035466090872
5,3,1,3.39646910166501,0.576532226096512,0.904328469882907,11.003337971324,82.5444817460935,5.4367941404762,0.450242777676912
5,3,1,3.35449397102016,0.576195938724918,0.906493648134888,11.183378133251,82.4252554476456,5.44086281482831,0.445629782918545
5,3,1,3.34632277678809,0.566221696893793,0.91473433176467,11.4209940743171,82.2757186275092,5.42629758908402,0.43953001637824
5,3,1,3.37819900085463,0.541146946519706,0.928194704473342,11.6817988482178,82.0914870143006,5.37612143091201,0.432249881337493
5,3,1,3.25237084844712,0.525600295125857,0.940984372240386,12.4122071632917,81.5147742345937,5.35312537011695,0.416034284326534
5,3,1,3.21275526532705,0.527393034346023,0.942402738188838,12.5716511474532,81.3949526890048,5.36027055154522,0.413206442356259
5,3,1,3.20001431463841,0.520002279815792,0.945545734409625,12.708717114745,81.2746947672099,5.34272186213493,0.4101361650026
