PS_10_12,PS_16_24,PS_20_24,PS_4_12,PS_8_12,Mag_Alnico9,Mag_NdFe35,Mag_SmCo28,ST_1,ST_2,ST_3,MagThk_mm,Embrace,AirgapFlux,Cogging,Efficiency,Torque
0,0,0,0,1,0,1,0,0,1,0,4.83,0.809,0.325034,0.671682,92.1597,1.41059
0,0,0,0,1,0,0,1,1,0,0,7.32,0.708,0.192446,0.19453,94.2857,0.762747
0,0,1,0,0,1,0,0,0,0,1,6.66,0.701,0.131132,0.0631267,90.79,0.685731
1,0,0,0,0,0,1,0,1,0,0,7.18,0.839,0.231599,0.0235358,86.7259,0.58234
1,0,0,0,0,0,0,1,0,0,1,5.52,0.556,0.418057,0.414756,87.5677,0.844255
0,1,0,0,0,0,1,0,0,0,1,8.42,0.572,0.283243,1.36932,91.1104,1.97871
0,0,0,0,1,0,0,1,0,0,1,4.91,0.61,0.347127,0.708146,92.1772,1.2638
0,1,0,0,0,0,0,1,0,0,1,5.93,0.755,0.528875,4.87006,86.7963,4.3987
0,1,0,0,0,0,0,1,0,0,1,4.42,0.864,0.612256,7.39235,86.7994,5.59229
0,1,0,0,0,1,0,0,0,1,0,7.85,0.829,0.130925,0.329395,94.8428,1.26592
0,1,0,0,0,0,1,0,1,0,0,4.87,0.629,0.676342,5.28699,84.6859,5.04099
1,0,0,0,0,0,1,0,0,1,0,5.4,0.534,0.452059,0.412827,86.906,0.891183
0,0,1,0,0,0,1,0,1,0,0,6.85,0.835,0.527495,0.117427,73.6884,2.6335
0,1,0,0,0,1,0,0,1,0,0,6.77,0.808,0.130954,0.326811,95.0246,1.25478
0,0,1,0,0,1,0,0,1,0,0,7.54,0.695,0.132775,0.0530819,90.8094,0.685873
0,0,0,0,1,1,0,0,1,0,0,7.94,0.713,0.0878083,0.0418132,96.7396,0.378058
0,1,0,0,0,0,0,1,1,0,0,5.84,0.604,0.578726,5.09155,86.3336,4.17849
1,0,0,0,0,0,1,0,0,0,1,6.59,0.561,0.350924,0.289751,88.6243,0.709581
1,0,0,0,0,0,1,0,1,0,0,7.43,0.801,0.217791,0.0886739,87.6254,0.536414
0,0,1,0,0,0,1,0,0,1,0,7.37,0.617,0.541027,1.39388,77.9672,2.29744
1,0,0,0,0,1,0,0,1,0,0,8.12,0.632,0.105642,0.021284,94.3986,0.251898
0,1,0,0,0,0,0,1,0,0,1,7.29,0.867,0.348651,2.34834,90.4231,3.1769
1,0,0,0,0,0,0,1,0,1,0,5.09,0.797,0.381953,0.305049,82.2073,0.943247
0,0,1,0,0,0,0,1,0,0,1,5.75,0.851,0.638766,0.980578,70.8468,3.22273
0,0,0,0,1,0,0,1,0,0,1,7.06,0.857,0.185104,0.215701,94.6578,0.836061
0,0,1,0,0,1,0,0,0,1,0,4.36,0.735,0.123923,0.0906941,90.5903,0.694498
0,0,1,0,0,1,0,0,1,0,0,4.96,0.839,0.126268,0.0149006,89.6917,0.735047
1,0,0,0,0,0,1,0,0,0,1,7.58,0.752,0.214256,0.109134,88.4382,0.509398
0,0,0,1,0,0,1,0,1,0,0,4.41,0.506,0.217383,0.30131,95.7287,0.724572
0,1,0,0,0,1,0,0,0,1,0,6.5,0.663,0.130595,0.0204973,94.4181,1.11734
0,0,1,0,0,0,1,0,0,0,1,4.97,0.86,0.717283,1.79569,69.0318,3.62972
0,0,0,0,1,0,1,0,1,0,0,4.3,0.508,0.448096,1.28181,92.1644,1.47648
0,0,1,0,0,0,1,0,0,0,1,4.49,0.565,0.912868,4.88017,74.7201,3.73027
0,0,1,0,0,1,0,0,0,0,1,5.65,0.568,0.128737,0.0956341,92.8159,0.620053
0,0,0,0,1,0,0,1,0,1,0,8.01,0.609,0.156273,0.139954,94.8903,0.566989
0,1,0,0,0,0,0,1,0,1,0,7.11,0.881,0.367027,2.58897,89.8132,3.37799
1,0,0,0,0,0,0,1,0,1,0,5.95,0.596,0.369271,0.332356,86.9141,0.773319
0,0,1,0,0,0,1,0,0,0,1,4.7,0.855,0.727038,1.5639,68.8768,3.67873
1,0,0,0,0,0,1,0,1,0,0,7.2,0.515,0.316602,0.107215,90.2302,0.608561
0,0,1,0,0,0,0,1,0,0,1,6.45,0.578,0.641077,2.39355,78.4719,2.63971
0,0,1,0,0,1,0,0,1,0,0,5.03,0.642,0.12669,0.0488794,92.0503,0.6545
0,0,0,0,1,1,0,0,0,1,0,4.03,0.762,0.125375,0.0996287,96.0909,0.587781
0,0,0,0,1,0,1,0,0,1,0,5.38,0.771,0.303842,0.580258,92.3011,1.27512
0,1,0,0,0,0,1,0,0,0,1,8.37,0.517,0.312192,1.80308,91.176,2.05047
1,0,0,0,0,0,1,0,0,1,0,4.68,0.501,0.532424,0.0244058,86.492,1.0118
0,1,0,0,0,1,0,0,1,0,0,5.46,0.686,0.127871,0.108327,94.7563,1.12679
0,1,0,0,0,0,1,0,1,0,0,7.95,0.545,0.37427,2.53702,90.0014,2.53657
0,0,1,0,0,0,1,0,0,0,1,5.89,0.616,0.720266,2.61245,75.6906,3.07066
0,0,0,1,0,0,1,0,1,0,0,7.09,0.709,0.0981728,0.0587547,97.6226,0.389997
0,0,0,0,1,0,1,0,0,1,0,4.27,0.613,0.388452,0.883766,91.2477,1.42009
0,0,1,0,0,0,1,0,0,1,0,7.78,0.52,0.517703,0.602715,81.5866,1.98452
0,1,0,0,0,0,1,0,0,1,0,5.7,0.768,0.573853,5.96418,85.5479,4.81648
0,1,0,0,0,0,1,0,0,0,1,5.99,0.838,0.528099,5.43749,87.4803,4.69913
0,0,1,0,0,1,0,0,0,1,0,8.06,0.716,0.133353,0.0800065,89.9588,0.696512
0,1,0,0,0,0,0,1,0,1,0,6.44,0.582,0.532102,4.78985,86.6664,3.75904
0,0,0,0,1,0,0,1,0,0,1,5.97,0.607,0.289183,0.490876,92.9497,1.04618
0,1,0,0,0,0,0,1,0,1,0,6.67,0.695,0.476594,2.01888,86.4863,3.74663
0,1,0,0,0,1,0,0,0,1,0,4.57,0.567,0.124807,0.283591,95.2863,1.00751
0,0,0,0,1,0,1,0,1,0,0,4.39,0.626,0.376872,0.769893,91.6407,1.39451
1,0,0,0,0,1,0,0,1,0,0,5.22,0.51,0.131087,0.013867,95.1497,0.293216
1,0,0,0,0,1,0,0,1,0,0,4.3,0.863,0.127067,0.0313818,91.8379,0.36705
0,1,0,0,0,0,0,1,0,1,0,6.53,0.535,0.545146,5.52319,87.5015,3.71381
0,0,1,0,0,1,0,0,0,1,0,7.31,0.533,0.132456,0.062345,92.7513,0.605523
0,0,0,0,1,0,1,0,1,0,0,4.8,0.741,0.330004,0.66963,92.1668,1.35069
0,0,0,0,1,0,0,1,0,1,0,4.51,0.545,0.402309,1.02953,91.9127,1.37989
0,0,0,0,1,0,1,0,0,1,0,8.25,0.801,0.11352,0.080066,95.625,0.488859
1,0,0,0,0,0,0,1,1,0,0,7.42,0.557,0.272407,0.170108,90.2995,0.548564
1,0,0,0,0,1,0,0,0,0,1,4.62,0.557,0.129184,0.0405976,94.7473,0.304894
1,0,0,0,0,0,1,0,0,0,1,8.0,0.617,0.203742,0.090919,90.7882,0.433232
0,0,0,1,0,0,1,0,0,0,1,7.39,0.612,0.0953733,0.0563112,97.3759,0.34841
0,0,1,0,0,0,1,0,1,0,0,5.24,0.751,0.72149,3.07321,71.3045,3.44143
0,0,0,1,0,0,0,1,1,0,0,7.15,0.527,0.109182,0.074765,96.8387,0.37032
0,0,1,0,0,1,0,0,1,0,0,8.0,0.619,0.133514,0.081071,91.8158,0.649122
0,1,0,0,0,1,0,0,0,1,0,5.55,0.883,0.127868,0.316998,95.1744,1.31071
0,1,0,0,0,0,1,0,1,0,0,5.37,0.889,0.581352,6.53261,87.4019,5.38656
0,0,1,0,0,0,0,1,1,0,0,6.78,0.733,0.558268,1.69915,75.2892,2.62023
0,0,1,0,0,0,1,0,1,0,0,7.05,0.673,0.567877,0.224698,76.7524,2.53437
0,0,1,0,0,1,0,0,0,1,0,5.06,0.892,0.126562,0.095227,88.9303,0.741983
1,0,0,0,0,0,0,1,1,0,0,7.94,0.564,0.218627,0.110178,91.3804,0.442952
0,1,0,0,0,1,0,0,1,0,0,7.09,0.51,0.131935,0.326593,95.674,0.971366
0,0,0,0,1,0,0,1,0,1,0,6.87,0.58,0.243385,0.363025,93.5346,0.859049
0,0,0,1,0,0,1,0,0,0,1,6.41,0.786,0.114184,0.0820813,97.2501,0.486718
1,0,0,0,0,0,0,1,0,0,1,4.38,0.871,0.415474,0.373662,81.3064,1.05829
0,1,0,0,0,0,1,0,0,1,0,6.59,0.652,0.520783,1.311,85.7756,3.92361
